Name,Name,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
ACURA ILX,Acura ILX,ACURA,ILX,COMPACT,2,4,AS5,Z,9.9,6.7,8.5,33,196
ACURA ILX HYBRID,Acura ILX HYBRID,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6,5.8,5.9,48,136
ACURA MDX 4WD,Acura MDX 4WD,ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255
ACURA RDX AWD,Acura RDX AWD,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
ACURA RLX,Acura RLX,ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10,28,230
ACURA TL,Acura TL,ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232
ACURA TL AWD,Acura TL AWD,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9,11.1,25,255
ACURA TSX,Acura TSX,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212
ALFA ROMEO 4C,Alfa Romeo 4C,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,193
ASTON MARTIN DB9,Aston Martin DB9,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359
ASTON MARTIN RAPIDE,Aston Martin RAPIDE,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359
ASTON MARTIN V8 VANTAGE,Aston Martin V8 VANTAGE,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
ASTON MARTIN V8 VANTAGE S,Aston Martin V8 VANTAGE S,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
ASTON MARTIN VANQUISH,Aston Martin VANQUISH,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359
AUDI A4,Audi A4,AUDI,A4,COMPACT,2,4,AV8,Z,9.9,7.4,8.8,32,202
AUDI A4 QUATTRO,Audi A4 QUATTRO,AUDI,A4 QUATTRO,COMPACT,2,4,AS8,Z,11.5,8.1,10,28,230
AUDI A5 CABRIOLET QUATTRO,Audi A5 CABRIOLET QUATTRO,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10,28,230
AUDI A5 QUATTRO,Audi A5 QUATTRO,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10,28,230
AUDI A6 QUATTRO,Audi A6 QUATTRO,AUDI,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,12,8.1,10.2,28,235
AUDI A6 QUATTRO TDI (MODIFIED),Audi A6 QUATTRO TDI (modified),AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,8.1,35,217
AUDI A7 QUATTRO,Audi A7 QUATTRO,AUDI,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,13.3,8.5,11.2,25,262
