Name,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Car Body Style,highway MPG,city MPG
ACURA CL,ACURA,CL,2001,premium unleaded (required),225,6,Automatic,FrontWheelDrive,2,Luxury,Coupe,27,17
ACURA ILX,ACURA,ILX,2015,premium unleaded (recommended),201,4,Manual,FrontWheelDrive,4,"Luxury,Performance",Sedan,31,22
ACURA ILX HYBRID,ACURA,ILX Hybrid,2014,premium unleaded (recommended),111,4,Automatic,FrontWheelDrive,4,"Luxury,Hybrid",Sedan,38,39
ACURA INTEGRA,ACURA,Integra,1999,regular unleaded,140,4,Manual,FrontWheelDrive,4,Luxury,Sedan,29,22
ACURA LEGEND,ACURA,Legend,1993,regular unleaded,200,6,Manual,FrontWheelDrive,4,Luxury,Sedan,23,15
ACURA MDX,ACURA,MDX,2015,premium unleaded (recommended),290,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,27,18
ACURA NSX,ACURA,NSX,2004,regular unleaded,290,6,Manual,RearWheelDrive,2,"Exotic,Luxury,High-Performance",Coupe,22,16
ACURA RDX,ACURA,RDX,2015,premium unleaded (recommended),273,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,27,19
ACURA RL,ACURA,RL,2010,premium unleaded (required),300,6,Automatic,AllWheelDrive,4,"Luxury,Performance",Sedan,22,16
ACURA RLX,ACURA,RLX,2015,premium unleaded (recommended),310,6,Automatic,FrontWheelDrive,4,"Luxury,Performance",Sedan,31,20
ACURA RSX,ACURA,RSX,2004,regular unleaded,160,4,Manual,FrontWheelDrive,2,"Hatchback,Luxury,Performance",Hatchback,30,24
ACURA SLX,ACURA,SLX,1997,regular unleaded,190,6,Automatic,four wheel drive,4,Luxury,SUV,17,13
ACURA TL,ACURA,TL,2012,premium unleaded (required),305,6,Automatic,AllWheelDrive,4,"Luxury,Performance",Sedan,26,18
ACURA TLX,ACURA,TLX,2015,premium unleaded (recommended),290,6,Automatic,AllWheelDrive,4,Luxury,Sedan,31,21
ACURA TSX,ACURA,TSX,2012,premium unleaded (recommended),201,4,Automatic,FrontWheelDrive,4,Luxury,Sedan,31,22
ACURA TSX SPORT WAGON,ACURA,TSX Sport Wagon,2012,premium unleaded (recommended),201,4,Automatic,FrontWheelDrive,4,Luxury,Wagon,30,22
ACURA VIGOR,ACURA,Vigor,1992,regular unleaded,176,5,Manual,FrontWheelDrive,4,Luxury,Sedan,24,18
ACURA ZDX,ACURA,ZDX,2011,premium unleaded (required),300,6,Automatic,AllWheelDrive,4,"Crossover,Hatchback,Luxury",Hatchback,23,16
ALFA ROMEO 4C,ALFA ROMEO,4C,2015,premium unleaded (required),237,4,Automated_Manual,RearWheelDrive,2,"Luxury,High-Performance",Convertible,34,24
ASTON MARTIN DB7,ASTON MARTIN,DB7,2003,premium unleaded (required),420,12,Automatic,RearWheelDrive,2,"Exotic,Factory Tuner,High-Performance",Coupe,18,11
ASTON MARTIN DB9,ASTON MARTIN,DB9,2013,premium unleaded (required),510,12,Automatic,RearWheelDrive,2,"Exotic,High-Performance",Convertible,19,13
